age,workclass,education,sex,hours_per_week,native_country,income
42,Self-emp-inc,Prof-school,Male,60,United-States,>50K
49,Private,Bachelors,Male,55,United-States,>50K
47,Self-emp-not-inc,HS-grad,Male,50,United-States,>50K
41,Local-gov,Prof-school,Male,45,United-States,>50K
55,Self-emp-inc,Bachelors,Male,50,United-States,>50K
39,Private,Masters,Female,65,United-States,>50K
42,Private,Bachelors,Male,60,United-States,>50K
41,,Assoc-voc,Male,12,United-States,>50K
46,Private,Masters,Male,65,United-States,>50K
40,Private,Masters,Male,45,United-States,>50K
32,Private,Bachelors,Male,48,United-States,>50K
41,Self-emp-inc,Some-college,Male,55,United-States,>50K
60,Self-emp-inc,Prof-school,Male,80,United-States,>50K
31,Private,Masters,Male,70,Taiwan,>50K
58,Self-emp-not-inc,Some-college,Male,40,United-States,>50K
37,Self-emp-inc,Bachelors,Male,50,United-States,>50K
44,Self-emp-not-inc,Bachelors,Male,50,United-States,>50K
39,Self-emp-not-inc,Prof-school,Male,50,,>50K
43,Federal-gov,Prof-school,Male,55,,>50K
55,Self-emp-inc,Bachelors,Male,50,United-States,>50K
44,Self-emp-inc,Masters,Male,55,United-States,>50K
39,Private,Prof-school,Male,67,India,>50K
46,Self-emp-not-inc,Bachelors,Male,40,United-States,>50K
39,Private,Some-college,Male,99,United-States,>50K
62,Self-emp-inc,Bachelors,Male,60,United-States,>50K
31,Self-emp-not-inc,HS-grad,Female,40,United-States,>50K
46,Private,Bachelors,Male,35,Philippines,>50K
46,Self-emp-not-inc,Prof-school,Male,80,United-States,>50K
39,Self-emp-inc,Assoc-voc,Male,40,United-States,>50K
39,Private,Prof-school,Male,99,United-States,>50K
59,Private,Doctorate,Male,45,United-States,>50K
50,Self-emp-inc,Prof-school,Male,60,United-States,>50K
46,Private,Doctorate,Male,55,United-States,>50K
53,Self-emp-not-inc,Bachelors,Male,40,United-States,>50K
50,Self-emp-not-inc,Prof-school,Male,30,United-States,>50K
41,Self-emp-inc,Prof-school,Female,55,United-States,>50K
36,Private,Bachelors,Male,45,United-States,>50K
38,Private,Prof-school,Male,90,United-States,>50K
54,Private,Some-college,Male,50,United-States,>50K
50,Private,Bachelors,Female,20,United-States,>50K
47,Private,Bachelors,Male,60,United-States,>50K
47,Self-emp-inc,Prof-school,Male,45,United-States,>50K
67,Private,Bachelors,Male,40,United-States,>50K
67,Self-emp-inc,Bachelors,Male,75,United-States,>50K
72,Self-emp-not-inc,Doctorate,Male,25,United-States,>50K
72,,Doctorate,Male,,United-States,>50K
46,Self-emp-inc,Masters,Male,50,United-States,>50K
78,Self-emp-inc,Bachelors,Male,40,United-States,>50K
71,Self-emp-inc,Bachelors,Male,60,United-States,>50K
83,Self-emp-inc,Bachelors,Male,55,United-States,>50K
68,Private,Masters,Male,40,United-States,>50K
26,Private,Assoc-voc,Male,45,United-States,<=50K
68,State-gov,Doctorate,Male,60,United-States,>50K
49,Self-emp-inc,HS-grad,Female,40,United-States,>50K
36,Private,HS-grad,Male,60,United-States,<=50K
70,Self-emp-not-inc,Bachelors,Male,12,United-States,>50K
27,Private,Some-college,Female,20,United-States,<=50K
35,Local-gov,Some-college,Male,40,United-States,<=50K
23,Private,HS-grad,Male,40,United-States,<=50K
81,Private,HS-grad,Male,26,United-States,>50K
66,Self-emp-not-inc,Doctorate,Male,25,United-States,>50K
71,Private,HS-grad,Male,45,United-States,>50K
68,Private,Some-college,Male,55,United-States,>50K
68,State-gov,Masters,Male,42,,>50K
65,,Bachelors,Male,40,United-States,>50K
52,Private,HS-grad,Male,40,United-States,<=50K
40,Self-emp-inc,Assoc-acdm,Male,50,United-States,<=50K
68,,Bachelors,Male,35,United-States,>50K
21,Private,Some-college,Male,48,United-States,<=50K
35,Private,HS-grad,Male,40,United-States,<=50K
70,Self-emp-inc,Bachelors,Male,50,United-States,>50K
61,Self-emp-not-inc,HS-grad,Male,50,United-States,<=50K
65,Self-emp-inc,HS-grad,Male,65,United-States,<=50K
46,Private,5th-6th,Female,45,United-States,<=50K
26,Local-gov,Bachelors,Male,55,United-States,<=50K
59,Local-gov,HS-grad,Male,40,United-States,<=50K
61,Private,5th-6th,Male,40,United-States,<=50K
60,State-gov,Bachelors,Female,40,United-States,<=50K
49,Self-emp-inc,Some-college,Male,50,United-States,<=50K
34,Private,Bachelors,Male,40,,<=50K
25,Private,Bachelors,Female,35,United-States,<=50K
55,Private,Some-college,Female,45,,<=50K
59,Local-gov,HS-grad,Female,40,United-States,<=50K
28,State-gov,Some-college,Male,40,United-States,<=50K
43,,Assoc-voc,Female,36,United-States,<=50K
56,Self-emp-not-inc,Masters,Female,60,United-States,<=50K
41,Private,HS-grad,Male,40,United-States,<=50K
42,Private,HS-grad,Female,40,Trinadad&Tobago,<=50K
28,Private,Prof-school,Male,40,Canada,<=50K
40,Self-emp-not-inc,Prof-school,Female,35,United-States,<=50K
69,Private,Bachelors,Male,40,United-States,>50K
66,Local-gov,HS-grad,Male,40,United-States,<=50K
69,Private,5th-6th,Male,40,United-States,<=50K
55,Local-gov,Masters,Female,40,United-States,<=50K
57,Federal-gov,HS-grad,Male,40,United-States,<=50K
20,Self-emp-not-inc,Some-college,Male,10,United-States,<=50K
33,Private,HS-grad,Male,84,United-States,<=50K
30,Self-emp-not-inc,Some-college,Male,40,South,<=50K
40,Private,Bachelors,Female,48,Philippines,<=50K
38,Private,Some-college,Male,55,United-States,>50K
46,State-gov,Assoc-acdm,Male,38,United-States,>50K
29,Private,Bachelors,Female,45,United-States,>50K
57,Federal-gov,Bachelors,Male,40,United-States,<=50K
39,Private,HS-grad,Male,42,United-States,>50K
47,Private,Bachelors,Male,40,United-States,>50K
26,Private,Bachelors,Male,45,United-States,>50K
27,Self-emp-not-inc,HS-grad,Male,50,United-States,<=50K
23,Private,Bachelors,Female,40,United-States,>50K
34,Private,Masters,Male,50,United-States,<=50K
33,Private,12th,Male,42,United-States,<=50K
38,Local-gov,Masters,Female,60,United-States,<=50K
57,Private,Some-college,Female,38,United-States,>50K
36,Private,HS-grad,Male,70,United-States,<=50K
44,Federal-gov,Bachelors,Male,40,United-States,>50K
49,State-gov,Doctorate,Female,50,United-States,>50K
44,Self-emp-inc,Some-college,Male,60,United-States,<=50K
55,Private,Some-college,Male,62,United-States,>50K
45,Private,HS-grad,Male,44,United-States,>50K
48,Private,HS-grad,Female,40,United-States,>50K
31,Private,Bachelors,Male,45,United-States,>50K
55,Local-gov,HS-grad,Female,40,United-States,>50K
70,Self-emp-not-inc,Some-college,Male,40,United-States,>50K
70,Self-emp-not-inc,Masters,Male,,United-States,>50K
73,Private,Bachelors,Male,40,United-States,>50K
72,Self-emp-not-inc,Prof-school,Male,28,United-States,>50K
31,Private,HS-grad,Female,40,United-States,<=50K
28,Private,10th,Female,35,United-States,<=50K
23,Self-emp-not-inc,Bachelors,Male,40,United-States,>50K
49,Local-gov,9th,Male,40,United-States,>50K
27,Local-gov,Some-college,Male,40,United-States,>50K
90,Private,HS-grad,Male,40,United-States,<=50K
68,Private,HS-grad,Female,30,United-States,<=50K
65,Private,HS-grad,Female,59,Canada,<=50K
65,,HS-grad,Female,10,United-States,<=50K
67,Private,Bachelors,Female,,United-States,<=50K
66,Local-gov,Bachelors,Female,25,United-States,<=50K
24,Private,Some-college,Male,24,United-States,<=50K
44,Self-emp-not-inc,Some-college,Male,35,United-States,<=50K
35,Private,Some-college,Female,40,United-States,<=50K
20,Private,Assoc-acdm,Female,18,United-States,<=50K
38,Private,HS-grad,Male,40,United-States,<=50K
39,Private,Some-college,Female,40,United-States,<=50K
32,Private,Some-college,Female,40,Holand-Netherlands,<=50K
42,Private,7th-8th,Male,40,United-States,<=50K
63,,HS-grad,Female,40,United-States,<=50K
42,Self-emp-inc,Masters,Male,60,India,>50K
64,Private,11th,Male,40,United-States,<=50K
28,Private,7th-8th,Male,40,Puerto-Rico,<=50K
41,Self-emp-inc,Assoc-voc,Male,84,Mexico,<=50K
41,Self-emp-not-inc,7th-8th,Male,40,United-States,<=50K
58,Self-emp-not-inc,1st-4th,Male,18,United-States,<=50K
59,State-gov,Some-college,Male,40,United-States,<=50K
34,Self-emp-not-inc,HS-grad,Female,12,United-States,<=50K
45,Private,HS-grad,Male,45,United-States,<=50K
29,Private,HS-grad,Female,40,United-States,<=50K
47,Private,10th,Male,52,United-States,<=50K
40,Private,Some-college,Male,40,United-States,<=50K
47,Self-emp-not-inc,5th-6th,Male,50,Mexico,<=50K
63,,Bachelors,Male,45,United-States,<=50K
41,Self-emp-not-inc,HS-grad,Male,40,United-States,<=50K
34,Private,Some-college,Male,40,United-States,<=50K
66,,Bachelors,Male,40,United-States,>50K
65,Self-emp-not-inc,Some-college,Male,10,United-States,>50K
70,Private,HS-grad,Male,40,United-States,>50K
75,Self-emp-not-inc,Prof-school,Male,50,United-States,>50K
65,State-gov,HS-grad,Male,40,United-States,>50K
65,Federal-gov,Some-college,Male,40,United-States,>50K
73,Private,Some-college,Male,50,United-States,>50K
60,,Bachelors,Male,25,South,<=50K
68,Self-emp-not-inc,Assoc-voc,Male,40,United-States,<=50K
74,Self-emp-not-inc,HS-grad,Male,20,United-States,<=50K
43,Private,5th-6th,Female,72,,<=50K
19,Self-emp-not-inc,11th,Male,55,United-States,<=50K
37,Self-emp-not-inc,HS-grad,Male,40,United-States,<=50K
45,Federal-gov,Assoc-acdm,Male,40,Philippines,<=50K
64,Private,Masters,Male,60,China,<=50K
30,Private,HS-grad,Male,40,United-States,<=50K
51,Self-emp-not-inc,Some-college,Female,60,Canada,<=50K
35,Private,11th,Male,40,United-States,<=50K
29,Private,HS-grad,Female,20,United-States,<=50K
34,Private,Some-college,Female,40,United-States,<=50K
41,Private,HS-grad,Male,60,United-States,<=50K
35,Private,Some-college,Male,45,United-States,<=50K
26,Private,Some-college,Male,40,United-States,<=50K
54,Private,HS-grad,Male,50,United-States,<=50K
52,Local-gov,HS-grad,Male,40,United-States,<=50K
50,Self-emp-not-inc,HS-grad,Male,20,United-States,<=50K
31,Private,Some-college,Male,40,United-States,<=50K
38,Federal-gov,HS-grad,Male,40,United-States,<=50K
30,Private,Some-college,Male,40,United-States,<=50K
34,Local-gov,Bachelors,Male,40,United-States,<=50K
31,Private,Some-college,Male,57,United-States,<=50K
52,Private,HS-grad,Male,38,United-States,<=50K
54,Private,HS-grad,Male,40,United-States,<=50K
38,Private,HS-grad,Male,44,United-States,<=50K
39,Private,HS-grad,Male,40,United-States,<=50K
29,Private,Assoc-voc,Male,40,United-States,<=50K
45,Private,HS-grad,Male,40,United-States,<=50K
34,Private,HS-grad,Male,55,United-States,<=50K
38,Private,HS-grad,Male,40,Poland,<=50K
39,Private,10th,Male,40,United-States,<=50K
61,Private,HS-grad,Male,20,United-States,<=50K
43,Private,11th,Male,40,United-States,<=50K
35,Private,Some-college,Male,40,United-States,<=50K
46,Private,Some-college,Male,50,United-States,<=50K
38,Private,HS-grad,Male,40,United-States,<=50K
42,Self-emp-not-inc,HS-grad,Male,48,United-States,<=50K
34,Private,Assoc-acdm,Male,10,United-States,<=50K
29,Private,7th-8th,Male,40,United-States,<=50K
32,Private,11th,Male,30,United-States,<=50K
60,Private,HS-grad,Male,34,United-States,<=50K
49,Local-gov,HS-grad,Male,40,United-States,<=50K
53,Local-gov,HS-grad,Male,45,United-States,<=50K
56,Private,7th-8th,Male,40,United-States,<=50K
48,Private,11th,Male,40,United-States,<=50K
32,Federal-gov,Bachelors,Male,40,Iran,<=50K
42,Self-emp-not-inc,HS-grad,Male,40,United-States,<=50K
32,Private,Assoc-acdm,Male,42,United-States,<=50K
28,Local-gov,Assoc-acdm,Male,40,England,<=50K
26,Private,Assoc-voc,Male,40,United-States,<=50K
59,Private,Bachelors,Male,50,United-States,<=50K
47,Self-emp-not-inc,Bachelors,Male,30,United-States,<=50K
26,,Bachelors,Male,40,United-States,<=50K
41,Private,HS-grad,Male,60,United-States,<=50K
36,Private,HS-grad,Female,40,United-States,<=50K
45,Private,Bachelors,Male,55,United-States,<=50K
30,Private,Assoc-acdm,Male,40,United-States,<=50K
36,Private,HS-grad,Male,40,United-States,<=50K
34,Self-emp-inc,HS-grad,Male,40,United-States,<=50K
53,Private,HS-grad,Male,40,United-States,<=50K
51,Private,HS-grad,Male,45,United-States,<=50K
47,Self-emp-not-inc,Doctorate,Male,45,United-States,<=50K
19,,HS-grad,Male,40,United-States,<=50K
30,Private,HS-grad,Male,42,United-States,<=50K
20,Private,HS-grad,Male,40,United-States,<=50K
42,Federal-gov,Masters,Male,60,United-States,<=50K
31,Private,11th,Male,40,United-States,<=50K
33,Private,Bachelors,Male,40,United-States,<=50K
25,Private,Assoc-acdm,Female,30,United-States,<=50K
20,Private,HS-grad,Male,40,United-States,<=50K
23,Private,HS-grad,Male,40,United-States,<=50K
55,,HS-grad,Female,40,United-States,<=50K
41,Self-emp-not-inc,Some-college,Male,50,United-States,<=50K
54,Self-emp-not-inc,HS-grad,Male,35,United-States,<=50K
25,Private,HS-grad,Male,50,United-States,<=50K
19,Private,Some-college,Female,40,United-States,<=50K
24,Private,HS-grad,Female,37,United-States,<=50K
56,Federal-gov,Bachelors,Male,65,United-States,<=50K
21,Local-gov,Some-college,Female,40,United-States,<=50K
34,Private,HS-grad,Male,40,United-States,<=50K
19,Private,HS-grad,Male,40,United-States,<=50K
21,,Some-college,Male,45,United-States,<=50K
48,Private,HS-grad,Female,40,United-States,<=50K
34,Private,Bachelors,Male,40,United-States,<=50K
31,Private,HS-grad,Male,40,United-States,<=50K
36,Private,HS-grad,Female,40,United-States,<=50K
27,Private,HS-grad,Male,40,United-States,<=50K
27,Private,Some-college,Male,40,Philippines,<=50K
35,Private,Bachelors,Female,65,United-States,<=50K
31,Self-emp-not-inc,Bachelors,Male,60,United-States,<=50K
27,Federal-gov,HS-grad,Male,40,United-States,<=50K
28,Local-gov,Assoc-acdm,Female,40,United-States,<=50K
42,Private,HS-grad,Male,46,United-States,<=50K
44,Private,Some-college,Male,45,England,<=50K
41,Private,Bachelors,Male,56,United-States,<=50K
28,Private,Bachelors,Female,35,United-States,<=50K
41,Federal-gov,HS-grad,Female,40,United-States,<=50K
35,Private,10th,Female,40,United-States,<=50K
58,Private,Masters,Female,45,United-States,<=50K
40,Private,HS-grad,Male,48,United-States,<=50K
31,Private,Assoc-voc,Male,60,United-States,<=50K
30,Private,HS-grad,Female,40,United-States,<=50K
32,Private,Some-college,Male,40,United-States,<=50K
25,Private,Some-college,Male,40,United-States,<=50K
34,Private,HS-grad,Male,40,United-States,<=50K
56,Private,Some-college,Female,40,United-States,<=50K
45,Private,HS-grad,Male,40,United-States,<=50K
50,Private,HS-grad,Male,40,United-States,<=50K
27,Private,10th,Male,40,United-States,<=50K
51,Private,Some-college,Male,40,United-States,>50K
40,Private,Assoc-acdm,Male,60,United-States,>50K
41,Private,Masters,Male,65,United-States,>50K
49,Private,Masters,Male,45,United-States,>50K
37,Private,Assoc-voc,Male,40,United-States,>50K
36,Self-emp-inc,Bachelors,Female,45,United-States,>50K
35,Private,Prof-school,Male,80,United-States,>50K
29,Self-emp-inc,HS-grad,Female,25,United-States,>50K
50,Private,Bachelors,Female,40,United-States,>50K
46,Private,Bachelors,Male,40,United-States,>50K
44,Self-emp-not-inc,HS-grad,Male,45,United-States,>50K
42,Local-gov,Masters,Male,40,United-States,>50K
38,Federal-gov,Prof-school,Male,50,United-States,>50K
45,Private,Bachelors,Male,55,United-States,>50K
43,Local-gov,Masters,Male,60,United-States,>50K
47,Self-emp-inc,Prof-school,Male,60,United-States,>50K
58,Self-emp-inc,Prof-school,Male,50,United-States,>50K
48,Private,Prof-school,Male,40,United-States,>50K
42,Local-gov,Bachelors,Male,48,United-States,>50K
55,Private,Masters,Male,50,United-States,>50K
51,Private,10th,Male,40,United-States,>50K
32,Private,Masters,Male,40,United-States,>50K
45,Local-gov,Bachelors,Male,50,United-States,>50K
56,Private,Masters,Male,44,United-States,>50K
38,Private,Masters,Male,60,United-States,>50K
45,Private,Assoc-voc,Male,50,United-States,>50K
49,Private,Masters,Female,40,United-States,>50K
36,Private,HS-grad,Male,40,United-States,>50K
49,Private,Masters,Male,40,United-States,>50K
30,Private,Doctorate,Male,40,China,>50K
42,Self-emp-inc,Prof-school,Male,50,United-States,>50K
55,Private,Masters,Male,40,United-States,>50K
34,Private,Bachelors,Male,45,United-States,>50K
54,Private,Doctorate,Male,50,United-States,>50K
42,Self-emp-not-inc,Bachelors,Male,70,United-States,>50K
25,Local-gov,Bachelors,Male,40,United-States,>50K
55,Self-emp-inc,HS-grad,Male,45,United-States,>50K
58,State-gov,Masters,Male,50,United-States,>50K
62,Private,HS-grad,Male,60,United-States,>50K
43,Self-emp-inc,Prof-school,Male,40,United-States,>50K
57,Local-gov,Masters,Female,40,United-States,>50K
42,Self-emp-inc,Doctorate,Male,60,United-States,>50K
63,Self-emp-not-inc,Bachelors,Male,32,China,>50K
47,Self-emp-not-inc,Prof-school,Male,50,United-States,>50K
37,Private,Bachelors,Male,50,United-States,>50K
40,Private,Bachelors,Male,60,United-States,>50K
43,Private,Bachelors,Male,50,United-States,>50K
43,State-gov,Prof-school,Male,70,United-States,>50K
41,Self-emp-not-inc,Prof-school,Male,60,United-States,>50K
32,Private,Prof-school,Male,60,United-States,>50K
47,Private,Bachelors,Male,40,United-States,>50K
39,Federal-gov,Some-college,Male,60,United-States,>50K
53,Private,Some-college,Male,40,United-States,>50K
34,Private,Bachelors,Male,45,United-States,>50K
36,Private,Bachelors,Male,40,United-States,>50K
47,Local-gov,Masters,Male,41,United-States,>50K
52,Private,Assoc-voc,Male,45,United-States,>50K
40,Self-emp-not-inc,Prof-school,Male,60,United-States,>50K
42,Self-emp-inc,Bachelors,Male,40,United-States,>50K
51,Private,Masters,Male,40,United-States,>50K
55,Private,Masters,Male,20,United-States,>50K
38,Private,HS-grad,Male,99,United-States,>50K
52,Private,Some-college,Male,50,United-States,>50K
60,Federal-gov,HS-grad,Male,40,United-States,>50K
55,Private,Assoc-voc,Male,50,Germany,>50K
47,Local-gov,Masters,Male,50,United-States,>50K
46,Private,Masters,Male,40,United-States,>50K
35,Private,Masters,Male,45,United-States,>50K
59,Self-emp-inc,Bachelors,Male,50,United-States,>50K
57,Private,Masters,Male,45,United-States,>50K
46,Private,Some-college,Male,50,United-States,>50K
46,Federal-gov,Masters,Male,40,United-States,>50K
52,Private,HS-grad,Male,40,United-States,>50K
45,Private,Doctorate,Female,30,United-States,>50K
37,Private,Bachelors,Male,40,United-States,>50K
46,Private,Masters,Male,45,United-States,>50K
44,Private,Bachelors,Male,50,United-States,>50K
45,Private,Assoc-voc,Male,50,United-States,>50K
43,Private,HS-grad,Male,52,United-States,>50K
54,Local-gov,Masters,Male,40,United-States,>50K
50,Private,Masters,Male,40,United-States,>50K
51,Private,Bachelors,Male,60,,>50K
45,Private,Bachelors,Male,40,United-States,>50K
36,Private,Masters,Male,60,United-States,>50K
27,Private,Bachelors,Male,50,United-States,>50K
36,Private,Bachelors,Male,35,United-States,>50K
53,Private,Masters,Male,55,United-States,>50K
51,Local-gov,Masters,Male,35,United-States,>50K
28,Private,Bachelors,Female,24,United-States,>50K
47,Self-emp-not-inc,Some-college,Male,40,United-States,>50K
45,Private,Bachelors,Male,60,United-States,>50K
45,Local-gov,Masters,Female,35,United-States,>50K
39,Self-emp-not-inc,Prof-school,Male,50,United-States,>50K
39,Private,Bachelors,Male,40,United-States,>50K
55,Self-emp-not-inc,Masters,Male,40,United-States,>50K
62,Private,Some-college,Male,98,United-States,>50K
49,Private,Bachelors,Male,50,South,>50K
53,Self-emp-not-inc,Masters,Male,40,United-States,>50K
31,Private,Masters,Male,48,United-States,>50K
42,Self-emp-inc,HS-grad,Male,60,Italy,>50K
39,Private,Bachelors,Male,45,Philippines,>50K
60,Self-emp-not-inc,Bachelors,Male,45,United-States,>50K
26,Private,Prof-school,Male,40,United-States,>50K
37,Private,Masters,Male,40,United-States,>50K
45,State-gov,Bachelors,Male,60,United-States,>50K
37,Private,Assoc-acdm,Male,45,United-States,>50K
32,Private,Bachelors,Male,45,United-States,>50K
39,Self-emp-inc,HS-grad,Male,40,United-States,>50K
58,Self-emp-not-inc,10th,Female,35,,>50K
45,Private,Masters,Male,43,United-States,>50K
41,Private,Bachelors,Male,45,United-States,>50K
36,Self-emp-not-inc,HS-grad,Male,65,United-States,>50K
51,State-gov,Masters,Male,60,United-States,>50K
39,Private,Some-college,Male,62,United-States,>50K
56,Self-emp-not-inc,Prof-school,Male,50,United-States,>50K
53,Federal-gov,HS-grad,Male,40,United-States,>50K
40,Self-emp-not-inc,Assoc-voc,Female,15,United-States,>50K
57,Private,Masters,Male,40,United-States,>50K
50,Local-gov,HS-grad,Male,35,United-States,>50K
34,Private,Prof-school,Male,55,United-States,>50K
35,Private,Bachelors,Female,30,United-States,>50K
30,Self-emp-not-inc,HS-grad,Male,15,United-States,>50K
53,Local-gov,Masters,Male,55,United-States,>50K
31,State-gov,Doctorate,Male,70,United-States,>50K
37,Private,Bachelors,Male,60,United-States,>50K
34,Private,Bachelors,Male,50,United-States,>50K
36,Private,Masters,Male,50,United-States,>50K
40,Private,Bachelors,Male,50,United-States,>50K
51,Private,Some-college,Male,60,United-States,>50K
33,Private,HS-grad,Male,45,United-States,>50K
40,Private,Doctorate,Female,20,United-States,>50K
50,Self-emp-inc,7th-8th,Male,63,,>50K
46,Self-emp-inc,Masters,Male,60,United-States,>50K
54,Private,Doctorate,Male,50,United-States,>50K
39,Private,Masters,Female,24,United-States,>50K
54,Self-emp-inc,Some-college,Male,40,United-States,>50K
31,Private,Doctorate,Male,99,United-States,>50K
51,Private,Masters,Male,50,United-States,>50K
55,Private,Doctorate,Male,55,,>50K
36,Private,Masters,Male,40,Japan,>50K
41,Self-emp-inc,Bachelors,Male,60,Taiwan,>50K
56,Self-emp-not-inc,Some-college,Female,50,United-States,>50K
38,Private,Bachelors,Male,40,United-States,>50K
47,Private,HS-grad,Male,45,United-States,>50K
39,Local-gov,Masters,Male,45,United-States,>50K
59,Private,Bachelors,Male,50,United-States,>50K
54,Private,Doctorate,Male,43,United-States,>50K
54,Self-emp-not-inc,Bachelors,Female,35,United-States,>50K
31,Private,Bachelors,Male,55,United-States,>50K
59,Self-emp-inc,Some-college,Male,48,United-States,>50K
46,Private,Masters,Male,50,United-States,>50K
57,Private,Doctorate,Male,40,Germany,>50K
36,Private,Masters,Female,44,United-States,>50K
44,Private,Bachelors,Male,40,United-States,>50K
33,Private,Prof-school,Male,50,United-States,>50K
54,Private,Some-college,Male,18,United-States,>50K
55,Private,Masters,Male,60,United-States,>50K
36,Private,Masters,Male,50,United-States,>50K
49,Local-gov,Prof-school,Female,60,United-States,>50K
41,Private,Prof-school,Male,50,United-States,>50K
40,Private,Doctorate,Male,45,Hong,>50K
43,Private,Bachelors,Male,50,United-States,>50K
39,Local-gov,Masters,Female,20,United-States,>50K
26,,Bachelors,Female,40,United-States,>50K
48,Private,Prof-school,Male,45,United-States,>50K
43,Private,Bachelors,Male,50,United-States,>50K
42,Self-emp-inc,Bachelors,Male,60,,>50K
36,Private,Bachelors,Male,45,United-States,>50K
39,Private,Masters,Male,40,United-States,<=50K
21,Private,Some-college,Male,40,United-States,<=50K
23,Private,Some-college,Female,40,United-States,<=50K
47,Private,HS-grad,Female,40,United-States,<=50K
30,Private,HS-grad,Female,40,United-States,<=50K
35,Private,Some-college,Male,40,United-States,<=50K
26,Private,Some-college,Female,40,United-States,<=50K
26,Private,Bachelors,Male,55,United-States,<=50K
41,Local-gov,Masters,Male,40,United-States,<=50K
30,Local-gov,Some-college,Male,40,United-States,<=50K
28,Private,HS-grad,Male,40,United-States,<=50K
56,Private,HS-grad,Female,40,United-States,<=50K
35,Private,HS-grad,Male,40,United-States,<=50K
34,Private,Assoc-voc,Female,40,United-States,<=50K
29,Private,HS-grad,Male,35,United-States,<=50K
23,Private,Assoc-acdm,Female,20,United-States,<=50K
24,Federal-gov,HS-grad,Female,40,United-States,<=50K
62,Private,Some-college,Male,40,United-States,<=50K
77,Self-emp-not-inc,Some-college,Female,,United-States,<=50K
47,Private,Prof-school,Female,60,Honduras,>50K
48,Self-emp-not-inc,Doctorate,Male,60,United-States,>50K
42,Self-emp-not-inc,Prof-school,Male,50,United-States,>50K
